numero_section	nom_section	contexte_1	contexte_2	classe	notes
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Gaz ou gaz liquéfiés :	supérieure à 2 000 kg	1ère classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
1131	Toxiques (emploi ou stockage de substances et préparations - ) telles que définies à la rubrique 1 000. La quantité totale susceptible d'être présente dans l'installation étant,	Gaz ou gaz liquéfiés :	supérieure à 200 kg, mais inférieure ou égale à 2 000 kg	2ème classe	Exclus de cette rubrique | - substances et préparations visées explicitement ou par famille par d'autres rubriques de la nomenclature | - méthanol, notamment visé par la rubrique 1432.
1135	Ammoniac (fabrication industrielle de l’)			1ère classe	
1136	Ammoniac (emploi ou stockage de l'- ).	en récipients de capacité unitaire inférieure ou égale à 50 kg :	supérieure à 5 000 kg	1ère classe	A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant :
1136	Ammoniac (emploi ou stockage de l'- ).	en récipients de capacité unitaire inférieure ou égale à 50 kg :	supérieure à 150 kg, mais inférieure ou égale à 5 000 kg	2ème classe	A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant :
1136	Ammoniac (emploi ou stockage de l'- ).	en récipients de capacité unitaire inférieure ou égale à 50 kg :	supérieure à 1 500 kg	1ère classe	A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant : | A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant :
1136	Ammoniac (emploi ou stockage de l'- ).	en récipients de capacité unitaire inférieure ou égale à 50 kg :	supérieure à 150 kg, mais inférieure ou égale à 1 500 kg	2ème classe	A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant : | A - Stockage | La quantité totale susceptible d'être présente dans l'installation étant, | B - Emploi. | La quantité totale susceptible d'être présente dans l'installation étant :
1137	Chlore (fabrication industrielle du)			1ère classe	
1138	Chlore (emploi ou stockage du - ). La quantité totale susceptible d'être présente dans l'installation étant,	en récipients de capacité unitaire inférieure à 60 kg :	supérieure à 500 kg, mais inférieure ou égale à 1 000 kg	1ère classe	
1138	Chlore (emploi ou stockage du - ). La quantité totale susceptible d'être présente dans l'installation étant,	en récipients de capacité unitaire inférieure à 60 kg :	supérieure à 100 kg, mais inférieure ou égale à 500 kg	2ème classe	
1140	Formaldéhyde de concentration supérieure ou égale à 90% (fabrication industrielle, emploi ou stockage de)	Fabrication industrielle		1ère classe	
1140	Formaldéhyde de concentration supérieure ou égale à 90% (fabrication industrielle, emploi ou stockage de)	Emploi ou stockage La quantité totale susceptible d'être présente dans l'installation étant :	supérieure ou égale à 5 t, mais inférieure à 50 t	1ère classe	
1140	Formaldéhyde de concentration supérieure ou égale à 90% (fabrication industrielle, emploi ou stockage de)	Emploi ou stockage La quantité totale susceptible d'être présente dans l'installation étant :	supérieure ou égale à 100 kg, mais inférieure à 5 t	2ème classe	
1141	Chlorure d'hydrogène anhydre liquéfié (Emploi ou stockage du) la quantité totale susceptible d'être présente est :	en récipients de capacité unitaire supérieure ou égale à 37 kg : quelle que soit la quantité.		1ère classe	
1141	Chlorure d'hydrogène anhydre liquéfié (Emploi ou stockage du) la quantité totale susceptible d'être présente est :	en récipients de capacité unitaire inférieure à 37 kg :	supérieure à 1 t	1ère classe	
1141	Chlorure d'hydrogène anhydre liquéfié (Emploi ou stockage du) la quantité totale susceptible d'être présente est :	en récipients de capacité unitaire inférieure à 37 kg :	supérieure à 200 kg, mais inférieure ou égale à 1 t	2ème classe	
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Substances et mélanges à des concentrations en poids supérieures à 5 % à base de :		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Les formes pulvérulentes de 4,4-méthylène-bis (2-chloroaniline) ou de ses sels :		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Acide arsénieux et ses sels, trioxyde d'arsenic :		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Isocyanate de méthyle		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Composés du nickel sous forme pulvérulente inhalable (monoxyde de nickel, dioxyde de nickel, sulfure de nickel, disulfure de trinickel, trioxyde de dinickel), dichlorure de soufre		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Hydrogène arsénié, hydrogène phosphoré		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Acide arsénique et ses sels, pentoxyde d'arsenic		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Ethylèneimine		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Dérivés alkylés du plomb		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Diisocyanate de toluylène		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1150	Substances et mélanges particuliers (fabrication industrielle de ou à base de) :	Polychlorodibenzofuranes et polychlorodibenzodioxines (y compris TCDD) calculées en équivalent TCDD, tétraméthylène disulfotétramine.		1ère classe	Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si substances et mélanges en contenant susceptible d'être présente dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation | Si l'un de ces produits est susceptible d'être présent dans l'installation
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Substances et mélanges à des concentrations en poids supérieures à 5 % à base de : 4-aminobiphényle et/ou ses sels, benzidine et/ou ses sels, chlorure de N, N-diméthylcarbamoyle, diméthylnitrosamine, 2-naphthylamine et/ou ses sels, oxyde de bis(chlorométhyle), oxyde de chlorométhyle et de méthyle, 1,3-propanesultone, 4-nitrodiphényle, triamide hexaméthylphosphorique, benzotrichlorure, 1,2-dibromoéthane, sulfate de diéthyle, sulfate de diméthyle, 1,2-dibromo-3-chloropropane, 1,2-diméthylhydrazine, hydrazine.	Supérieure ou égale à 400 kg	1ère classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Substances et mélanges à des concentrations en poids supérieures à 5 % à base de : 4-aminobiphényle et/ou ses sels, benzidine et/ou ses sels, chlorure de N, N-diméthylcarbamoyle, diméthylnitrosamine, 2-naphthylamine et/ou ses sels, oxyde de bis(chlorométhyle), oxyde de chlorométhyle et de méthyle, 1,3-propanesultone, 4-nitrodiphényle, triamide hexaméthylphosphorique, benzotrichlorure, 1,2-dibromoéthane, sulfate de diéthyle, sulfate de diméthyle, 1,2-dibromo-3-chloropropane, 1,2-diméthylhydrazine, hydrazine.	Supérieure ou égale à 1 kg, mais inférieure à 400 kg	2ème classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Les formes pulvérulentes de 4,4-méthylène-bis (2-chloroaniline) ou de ses sels :	Supérieure ou égale à 2 kg	1ère classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Les formes pulvérulentes de 4,4-méthylène-bis (2-chloroaniline) ou de ses sels :	Supérieure ou égale à 100 g, mais inférieure à 2 kg	2ème classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Acide arsénieux et ses sels, trioxyde d’arsenic :	Supérieure ou égale à 20 kg	1ère classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Acide arsénieux et ses sels, trioxyde d’arsenic :	Supérieure ou égale à 1 kg, mais inférieure à 20 kg	2ème classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
1151	Substances et mélanges particuliers (emploi ou stockage de ou à base de)	Isocyanate de méthyle	Supérieure ou égale à 30 kg, mais inférieure à 150 kg	1ère classe	La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’une de ces substances et mélanges en contenant susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant : | La quantité totale de ce produit susceptible d’être présente dans l’installation étant : | La quantité totale de l’un de ces produits susceptible d’être présente dans l’installation étant :
